offset,length,text,translation
0x13a3a0,4,ＯＫ,确定
0x13a3a8,10,キャンセル,取消
0x13a3b8,4,はい,确定
0x13a3c0,6,いいえ,取消
0x13a3c8,6,再試行,重试
0x13a4c0,36,エンゼル☆ウィッシュシステムファイル,
0x13a5b0,34,エンゼル☆ウィッシュゲームファイル,
0x13a5f8,178,"”PlayStation 2”専用メモリーカード(8MB)
のチェックをしています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在检查记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13a6b8,110,"MEMORY CARD差込口１に
”PlayStation 2”専用メモリーカード(8MB)
が差し込まれていません。
ロードをつづけますか？","记忆卡插槽１未插入记忆卡。
是否继续读取？"
0x13a728,92,"システムファイルのロードに失敗しました。
ゲームファイルのみをロードします。
よろしいですか？","系统文件读取失败。
将仅读取游戏文件。
是否确定？"
0x13a788,92,"システムファイルがみつかりませんでした。
ゲームファイルのみをロードします。
よろしいですか？","未找到系统文件。
将仅读取游戏文件。
是否确定？"
0x13a7e8,145,"システムファイルをロード中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在读取系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13a880,38,ゲームファイルのロードに失敗しました。,游戏文件读取失败。
0x13a8a8,143,"ゲームファイルをロード中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在读取游戏文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13a968,178,"”PlayStation 2”専用メモリーカード(8MB)
のチェックをしています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在检查记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13aa28,233,"MEMORY CARD差込口１に
”PlayStation 2”専用メモリーカード(8MB)
が差し込まれていません。
システムファイルとゲームファイルの保存には
118KB以上の空き容量がある
”PlayStation 2”専用メモリーカード(8MB)
が必要です。
セーブをつづけますか？","记忆卡插槽１未插入记忆卡。
保存系统文件与游戏文件需要有１１８ＫＢ以上剩余空间的记忆卡。
是否继续保存？"
