offset,length,type,name,text,translation
0x00052C61,8,SR,,初めから,
0x00052C7A,23,SR,,アルバム/イベントテスト,
0x00052C9C,15,SR,,マップ/奉仕選択,
0x00052CD4,16,SR,,シナリオ冒頭から,
0x00052CF5,12,SR,,タイトルから,
0x00052DB9,18,SR,,キャラの表示テスト,
0x00052DF1,12,SR,,エンドロール,
0x00052FEC,14,SR,,アルバムモード,
0x0005300B,18,SR,,通常イベントテスト,
0x00053028,18,SR,,エロイベントテスト,
0x00053097,2,SR,,１,
0x000530AA,2,SR,,２,
0x000530B7,2,SR,,３,
0x000A715F,6,SR,,テスト,
0x000A7176,14,SR,,キャラを変える,
0x000A718F,6,SR,,その他,
0x000A7252,8,SR,,背景変更,
0x000A7265,12,SR,,表示左右変更,
0x000A727C,4,SR,,終了,
0x000A7334,2,P,,右,
0x000A7363,2,P,,左,
0x000A7392,2,P,,中,
0x000A7406,4,P,,近く,
0x000A7449,4,P,,普通,
0x000A748C,4,P,,遠く,
0x000A74F4,4,P,,近く,
0x000A7539,4,P,,普通,
0x000A757E,4,P,,遠く,
0x000A75E4,4,P,,近く,
0x000A7627,4,P,,普通,
0x000A766A,4,P,,遠く,
0x000A76D0,4,P,,近く,
0x000A7713,4,P,,普通,
0x000A7756,4,P,,遠く,
0x000A77BC,4,P,,近く,
0x000A77FF,4,P,,普通,
0x000A7842,4,P,,遠く,
0x000A78A8,4,P,,近く,
0x000A78EB,4,P,,普通,
0x000A792E,4,P,,遠く,
0x000A7994,4,P,,近く,
0x000A79D7,4,P,,普通,
0x000A7A1A,4,P,,遠く,
0x000A7A7B,4,P,,近く,
0x000A7AB9,4,P,,普通,
0x000A7AF7,4,P,,遠く,
0x000A7B58,4,P,,近く,
0x000A7B96,4,P,,普通,
0x000A7BD4,4,P,,遠く,
0x000A7C35,4,P,,近く,
0x000A7C73,4,P,,普通,
0x000A7CB1,4,P,,遠く,
0x000A7D12,4,P,,近く,
0x000A7D50,4,P,,普通,
0x000A7D8E,4,P,,遠く,
0x000A7DF4,4,P,,近く,
0x000A7E37,4,P,,普通,
0x000A7E7A,4,P,,遠く,
0x000A7EDB,4,P,,近く,
0x000A7F19,4,P,,普通,
0x000A7F57,4,P,,遠く,
0x000A7F9A,16,P,,水希　表示テスト,
0x000A7FC7,18,P,,ゆきな　表示テスト,
0x000A7FF6,16,P,,早知　表示テスト,
0x000A8023,16,P,,六夏　表示テスト,
0x000A8050,16,P,,七海　表示テスト,
0x000A807D,16,P,,鈴音　表示テスト,
0x000A80AA,16,P,,清貴　表示テスト,
0x000A80D7,16,P,,勝城　表示テスト,
0x000A8104,16,P,,香月　表示テスト,
0x000A8131,16,P,,兵次　表示テスト,
0x000A815E,16,P,,土間　表示テスト,
0x000A818B,16,P,,ユイ　表示テスト,
0x000A81B8,16,P,,影虎　表示テスト,
0x000C2F06,22,P,水希（少女時代）,「ぐすっ、ぐすっ……」,「呜、呜……」
0x000C2FD4,38,P,水希（少女時代）,「みんな、いつもどってくるんだろ……」,「大家，什么时候才回来啊……」
0x000C3025,14,P,水希（少女時代）,「ぐすん……」,「呜……」
0x000C3043,52,P,,小高い丘に上がると、そこには小さなチャペルが見えた。,登上小丘，一座小小的教堂映入眼帘。
0x000C3087,44,P,,雨音に紛れ、中から女の子の泣き声が聞こえる。,雨声中，隐约传来女孩子的哭声。
0x000C30DE,14,P,水希（少女時代）,「ぐすっ……」,「呜……」
0x000C3117,32,P,水希（少女時代）,「ひとりじゃ……さびしいよ……」,「一个人……好寂寞啊……」
0x000C322D,20,P,聖哉（少年時代）,「……どうしたの？」,「……你怎么了？」
0x000C326C,20,P,水希（少女時代）,「ぐすん……だれ？」,「呜……谁？」
